COMA,,,,,,COMPRAS JANEIRO,,
Data do Vencimento,Fornecedor,Número do Doc.,Valor,Data Pagamento,,Descrição,Data,Valor
01/01/2025,RMP,417945960101,"R$ 449,41",30/12/2025,,COMANDO,02/01/2025,"R$722,04"
02/01/2025,EMBREPAR,197651/C,"R$ 355,19",30/12/2025,,COBRA,02/01/2025,"R$147,24"
02/01/2025,COMANDO,F06000400199-EBL,"R$ 456,24",30/12/2025,,COBRA,02/01/2025,"R$1.787,86"
03/01/2025,NEOENERGIA,,"R$ 184,29",30/12/2025,,COBRA,02/01/2025,"R$476,24"
03/01/2025,EMBREPAR,204380/B,"R$ 322,40",30/12/2025,,COBRA,03/01/2025,"R$1.761,51"
03/01/2025,EMBREPAR,201825/B,"R$ 370,58",30/12/2025,,COMANDO,03/01/2025,"R$252,34"
03/01/2025,COBRA,25329001,"R$ 1.079,36",30/12/2025,,COBRA,03/01/2025,"R$918,33"
03/01/2025,COBRA,21.087.003,"R$ 819,24",30/12/2024,,COBRA,06/01/2025,"R$309,20"
03/01/2025,COBRA,21523003,"R$ 503,45",30/12/2024,,COBRA,07/01/2025,"R$429,00"
03/01/2025,COBRA,23106003,"R$ 1.075,71",30/12/2024,,COBRA,07/01/2025,"R$408,30"
03/01/2025,COBRA,24189002,"R$ 917,51",03/01/2025,,COMANDO,07/01/2025,"R$530,11"
04/01/2025,COMANDO,F06000402078-ABL,"R$ 512,08",03/01/2025,,DPK,08/01/2025,"R$533,73"
04/01/2025,COMANDO,F6000400874-DBL,"R$ 622,86",03/01/2025,,COMANDO,08/01/2025,"R$572,55"
05/01/2025,CAESB,,"R$ 115,50",03/01/2025,,VE,08/01/2025,"R$214,76"
06/01/2025,VE,367405-01,"R$ 322,64",03/01/2025,,COBRA,08/01/2025,"R$511,45"
07/01/2025,SK,02A000579523-003,"R$ 339,02",03/01/2025,,COBRA,08/01/2025,"R$570,25"
07/01/2025,COMANDO,F06000401481-CBL,"R$ 475,03",03/01/2025,,COMANDO,09/01/2025,"R$389,05"
10/01/2025,COBRA,25970001,"R$ 1.239,68",09/01/2025,,COBRA,09/01/2025,"R$676,67"
10/01/2025,VSA,557,"R$ 706,00",09/01/2025,,COBRA,10/01/2025,"R$647,02"
10/01/2025,COBRA,23661002,"R$ 1.144,02",09/01/2025,,COBRA,10/01/2025,"R$591,99"
10/01/2025,EMBREPAR,208066/A,"R$ 328,00",09/01/2025,,SK,10/01/2025,"R$633,34"
11/01/2025,COMANDO,F06000400874-EBL,"R$ 622,86",09/01/2025,,COMANDO,13/01/2025,"R$527,63"
11/01/2025,COMANDO,F060004002078-BBL,"R$ 512,08",09/01/2025,,COBRA,13/01/2025,"R$707,99"
12/01/2025,SK,02A000581149,"R$ 267,05",09/01/2025,,COMANDO,14/01/2025,"R$509,87"
14/01/2025,COMANDO,F06000402730-ABL,"R$ 494,98",09/01/2025,,SK,14/01/2025,"R$508,70"
14/01/2025,COMANDO,F06000401481-DBL,"R$ 475,03",09/01/2025,,COMANDO,14/01/2025,"R$604,47"
14/01/2025,OI,,"R$ 141,19",09/01/2025,,COBRA,14/01/2025,"R$460,70"
15/01/2025,DPK,452373,"R$ 571,81",09/01/2025,,SK,15/04/2025,"R$551,76"
15/01/2025,ALTERDATA,,"R$ 352,73",09/01/2025,,COBRA,16/01/2025,"R$921,35"
17/01/2025,COBRA,26678001,"R$ 804,52",17/01/2025,,COBRA,17/01/2025,"R$207,67"
17/01/2025,COBRA,23106004,"R$ 1.075,71",17/01/2025,,COBRA,17/01/2025,"R$229,90"
17/01/2025,COBRA,21964003,"R$ 748,88",17/01/2025,,COBRA,17/01/2025,"R$331,77"
17/01/2025,COBRA,24189003,"R$ 917,51",17/01/2025,,COBRA,17/01/2025,"R$145,94"
17/01/2025,COBRA,24692002,"R$ 507,87",17/01/2025,,COBRA,17/01/2025,"R$930,85"
17/01/2025,EMBREPAR,208066/B,"R$ 328,00",17/01/2025,,COMANDO,17/01/2025,"R$513,03"
18/01/2025,COMANDO,F06000402078-CBL,"R$ 512,09",17/01/2025,,COMANDO,17/01/2025,"R$398,50"
20/01/2025,FGTS,,"R$ 223,09",17/01/2025,,KAISEN,17/01/2025,"R$649,53"
20/01/2025,EMBREPAR,208378/A,"R$ 1.113,22",17/01/2025,,KAISEN,17/01/2025,"R$48,10"
20/01/2025,RMP,417973190101,"R$ 464,70",17/01/2025,,RMP,20/01/2025,"R$581,32"
20/01/2025,DARF/INSS,4,"R$ 456,78",17/01/2025,,COMANDO,20/01/2025,"R$82,42"
20/01/2025,SIMPLES,9242486-0,"R$ 1.429,10",17/01/2025,,COBRA,20/01,"R$921,45"
21/01/2025,COMANDO,F06000402730-BBL,"R$ 494,98",17/01/2025,,COMANDO,21/01,"R$194,75"
21/01/2025,COMANDO,F06000401481-EBL,"R$ 475,02",17/01/2025,,COMANDO,21/01/2025,"R$219,15"
22/01/2025,EMBREPAR,202898/B,"R$ 795,41",17/01/2025,,COMANDO,21/01/2025,"R$707,68"
22/01/2025,RMP,418012470103,"R$ 244,89",17/01/2025,,COMANDO,21/01/2025,"R$254,30"
23/01/2025,SK,02A000580290-002,"R$ 233,45",17/01/2025,,COBRA,21/01/2025,"R$867,29"
24/01/2025,EMBREPAR,201825/C,"R$ 370,58",24/01/2025,,VE,21/01/2025,"R$407,49"
24/01/2025,ELETROPAR,11727 2,"R$ 369,54",24/01/2025,,COMANDO,22/01,"R$573,91"
24/01/2025,COBRA,22576003,"R$ 851,04",24/01/2025,,COMANDO,22/01/2025,"R$108,17"
24/01/2025,COBRA,25970002,"R$ 1.239,68",24/01/2025,,COMANDO,23/01/2025,"R$567,96"
24/01/2025,COBRA,27126001,"R$ 726,06",24/01/2025,,COMANDO,23/01/2025,"R$751,46"
24/01/2025,SK,02A000581746-001,"R$ 321,93",24/01/2025,,COMANDO,24/01/2025,"R$233,37"
24/01/2025,COMANDO,F06000403353-ABL,"R$ 597,44",24/01/2025,,COMANDO,27/01/2025,"R$299,53"
24/01/2025,SK,02A000581817-001,"R$ 324,84",24/01/2025,,COBRA,27/01/2025,"R$825,05"
26/01/2025,RMP,418019240101,"R$ 298,14",24/01/2025,,COMANDO,28/01/2025,"R$581,00"
26/01/2025,KAIZEN,610774/1-3,"R$ 384,00",24/01/2025,,COMANDO,28/01/2025,"R$178,77"
28/01/2025,COMANDO,F06000402730-CBL,"R$ 494,98",24/01/2025,,COMANDO,28/01/2025,"R$40,44"
31/01/2025,COBRA,23106005,"R$ 1.075,72",31/01/2025,,COMANDO,28/01/2025,"R$41,15"
31/01/2025,COBRA,"R$ 24.189.004,00","R$ 917,51",31/01/2025,,KAISEN,28/01/2025,"R$174,82"
31/01/2025,COBRA,25329002,"R$ 1.079,33",31/01/2025,,COBRA,28/01/2025,"R$922,21"
31/01/2025,COBRA,26678002,"R$ 804,52",31/01/2025,,COBRA,29/01/2025,"R$492,56"
31/01/2025,COMANDO,F06000403353-BBL,"R$ 597,44",31/01/2025,,KAISEN,29/01/2025,"R$127,11"
 ,,,,,,COMANDO,29/01/2025,"R$366,35"
,,,,,,KAISEN,29/01/2025,"R$30,31"
,,,,,,COBRA,30/01/2025,"R$421,35"
,,,,,,COBRA,31/01/2025,"R$210,58"
,,,,,,SK,31/01/2025,"R$702,62"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,"R$ 37.053,91",,,TOTAL,,"R$33.215,31"
