data,Nº DA OP,VALOR BRUTO,TAXA (%),VALOR LIQUIDO,DESCONTO
02/01/2025,D1,"R$ 94,50","1,53%","R$ 93,05","R$ 1,45"
02/01/2025,D1,"R$ 225,00","1,53%","R$ 221,56","R$ 3,44"
02/01/2025,D1,"R$ 46,50","1,53%","R$ 45,79","R$ 0,71"
02/01/2025,D1,"R$ 812,00","1,53%","R$ 799,58","R$ 12,42"
02/01/2025,C1,"R$ 28,99","3,60%","R$ 27,95","R$ 1,04"
02/01/2025,C1,"R$ 29,00","3,60%","R$ 27,96","R$ 1,04"
02/01/2025,C2,"R$ 250,00","4,63%","R$ 238,43","R$ 11,58"
02/01/2025,D1,"R$ 104,00","1,53%","R$ 102,41","R$ 1,59"
02/01/2025,D1,"R$ 18,00","1,53%","R$ 17,72","R$ 0,28"
02/01/2025,D1,"R$ 102,00","1,53%","R$ 100,44","R$ 1,56"
02/01/2025,C1,"R$ 54,00","3,60%","R$ 52,06","R$ 1,94"
03/01/2025,C5,"R$ 1.193,00","6,64%","R$ 1.113,78","R$ 79,22"
03/01/2025,D1,"R$ 60,00","1,53%","R$ 59,08","R$ 0,92"
03/01/2025,D1,"R$ 81,50","1,53%","R$ 80,25","R$ 1,25"
03/01/2025,C3,"R$ 918,00","5,30%","R$ 869,35","R$ 48,65"
06/01/2025,D1,"R$ 23,00","1,53%","R$ 22,65","R$ 0,35"
06/01/2025,D1,"R$ 62,00","1,53%","R$ 61,05","R$ 0,95"
06/01/2025,D1,"R$ 81,00","1,53%","R$ 79,76","R$ 1,24"
06/01/2025,D1,"R$ 20,00","1,53%","R$ 19,69","R$ 0,31"
06/01/2025,D1,"R$ 16,00","1,53%","R$ 15,76","R$ 0,24"
06/01/2025,D1,"R$ 149,00","1,53%","R$ 146,72","R$ 2,28"
06/01/2025,D1,"R$ 87,00","1,53%","R$ 85,67","R$ 1,33"
06/01/2025,D1,"R$ 40,00","1,53%","R$ 39,39","R$ 0,61"
06/01/2025,C1,"R$ 34,00","3,60%","R$ 32,78","R$ 1,22"
06/01/2025,C1,"R$ 285,00","3,60%","R$ 274,74","R$ 10,26"
06/01/2025,C1,"R$ 150,00","3,60%","R$ 144,60","R$ 5,40"
06/01/2025,C2,"R$ 158,00","4,63%","R$ 150,68","R$ 7,32"
06/01/2025,D1,"R$ 152,00","1,53%","R$ 149,67","R$ 2,33"
06/01/2025,D1,"R$ 114,50","1,53%","R$ 112,75","R$ 1,75"
07/01/2025,D1,"R$ 139,00","1,53%","R$ 136,87","R$ 2,13"
07/01/2025,D1,"R$ 15,00","1,53%","R$ 14,77","R$ 0,23"
07/01/2025,D1,"R$ 278,00","1,53%","R$ 273,75","R$ 4,25"
07/01/2025,D1,"R$ 13,00","1,53%","R$ 12,80","R$ 0,20"
07/01/2025,D1,"R$ 116,00","1,53%","R$ 114,23","R$ 1,77"
07/01/2025,D1,"R$ 77,00","1,53%","R$ 75,82","R$ 1,18"
07/01/2025,D1,"R$ 150,00","1,53%","R$ 147,71","R$ 2,29"
07/01/2025,C4,"R$ 1.322,00","5,97%","R$ 1.243,08","R$ 78,92"
07/01/2025,D1,"R$ 41,00","1,53%","R$ 40,37","R$ 0,63"
08/01/2025,C1,"R$ 24,00","3,60%","R$ 23,14","R$ 0,86"
08/01/2025,C1,"R$ 32,00","3,60%","R$ 30,85","R$ 1,15"
08/01/2025,C1,"R$ 77,00","3,60%","R$ 74,23","R$ 2,77"
09/01/2025,D1,"R$ 15,00","1,53%","R$ 14,77","R$ 0,23"
09/01/2025,D1,"R$ 90,00","1,53%","R$ 88,62","R$ 1,38"
09/01/2025,D1,"R$ 21,00","1,53%","R$ 20,68","R$ 0,32"
09/01/2025,D1,"R$ 211,00","1,53%","R$ 207,77","R$ 3,23"
09/01/2025,c1,"R$ 29,00","3,60%","R$ 27,96","R$ 1,04"
09/01/2025,C1,"R$ 20,00","3,60%","R$ 19,28","R$ 0,72"
09/01/2025,C1,"R$ 116,00","3,60%","R$ 111,82","R$ 4,18"
10/01/2025,D1,"R$ 31,00","1,53%","R$ 30,53","R$ 0,47"
10/01/2025,D1,"R$ 32,00","1,53%","R$ 31,51","R$ 0,49"
10/01/2025,D1,"R$ 38,00","1,53%","R$ 37,42","R$ 0,58"
10/01/2025,D1,"R$ 64,00","1,53%","R$ 63,02","R$ 0,98"
10/01/2025,C1,"R$ 49,00","3,60%","R$ 47,24","R$ 1,76"
10/01/2025,C1,"R$ 100,00","3,60%","R$ 96,40","R$ 3,60"
10/01/2025,C1,"R$ 85,00","3,60%","R$ 81,94","R$ 3,06"
13/01/2025,D1,"R$ 9,00","1,53%","R$ 8,86","R$ 0,14"
13/01/2025,D1,"R$ 46,00","1,53%","R$ 45,30","R$ 0,70"
13/01/2025,D1,"R$ 270,00","1,53%","R$ 265,87","R$ 4,13"
13/01/2025,C1,"R$ 14,00","3,60%","R$ 13,50","R$ 0,50"
13/01/2025,C1,"R$ 22,00","3,60%","R$ 21,21","R$ 0,79"
13/01/2025,C1,"R$ 44,00","3,60%","R$ 42,42","R$ 1,58"
13/01/2025,C3,"R$ 338,00","5,30%","R$ 320,09","R$ 17,91"
14/01/2025,D1,"R$ 200,00","1,53%","R$ 196,94","R$ 3,06"
14/01/2025,C1,"R$ 12,00","3,60%","R$ 11,57","R$ 0,43"
14/01/2025,C1,"R$ 20,00","3,60%","R$ 19,28","R$ 0,72"
14/01/2025,C1,"R$ 29,00","3,60%","R$ 27,96","R$ 1,04"
14/01/2025,C1,"R$ 29,00","3,60%","R$ 27,96","R$ 1,04"
14/01/2025,C1,"R$ 34,00","3,60%","R$ 32,78","R$ 1,22"
14/01/2025,C1,"R$ 40,00","3,60%","R$ 38,56","R$ 1,44"
14/01/2025,C1,"R$ 41,00","3,60%","R$ 39,52","R$ 1,48"
14/01/2025,C1,"R$ 42,00","3,60%","R$ 40,49","R$ 1,51"
14/01/2025,C1,"R$ 76,00","3,60%","R$ 73,26","R$ 2,74"
14/01/2025,C1,"R$ 120,00","3,60%","R$ 115,68","R$ 4,32"
14/01/2025,C1,"R$ 211,00","3,60%","R$ 203,40","R$ 7,60"
15/01/2025,C1,"R$ 25,00","3,60%","R$ 24,10","R$ 0,90"
15/01/2025,C1,"R$ 116,00","3,60%","R$ 111,82","R$ 4,18"
15/01/2025,D1,"R$ 14,00","1,53%","R$ 13,79","R$ 0,21"
15/01/2025,D1,"R$ 185,00","1,53%","R$ 182,17","R$ 2,83"
15/01/2025,C1,"R$ 110,00","3,60%","R$ 106,04","R$ 3,96"
15/01/2025,C2,"R$ 228,00","4,63%","R$ 217,44","R$ 10,56"
16/01/2025,D1,"R$ 18,00","1,53%","R$ 17,72","R$ 0,28"
16/01/2025,D1,"R$ 32,00","1,53%","R$ 31,51","R$ 0,49"
16/01/2025,D1,"R$ 200,00","1,53%","R$ 196,94","R$ 3,06"
16/01/2025,D1,"R$ 137,00","1,53%","R$ 134,90","R$ 2,10"
16/01/2025,C1,"R$ 227,00","3,60%","R$ 218,83","R$ 8,17"
16/01/2025,C1,"R$ 97,00","3,60%","R$ 93,51","R$ 3,49"
16/01/2025,C5,"R$ 952,00","6,64%","R$ 888,79","R$ 63,21"
16/01/2025,C2,"R$ 456,00","4,63%","R$ 434,89","R$ 21,11"
16/01/2025,D1,"R$ 95,00","1,53%","R$ 93,55","R$ 1,45"
17/01/2025,D1,"R$ 75,00","1,53%","R$ 73,85","R$ 1,15"
17/01/2025,D1,"R$ 19,00","1,53%","R$ 18,71","R$ 0,29"
