--,,,,,,,,,,,
DATA,Fundo de Caixa,Dinheiro,Crédito,Débito,Duplicatas,Cheque,Total de Venda ,,RESUMO,,
01/01/2025,FERIADO,FERIADO,"R$ 0,00","R$ 0,00","R$ 0,00",FERIADO,"R$ 0,00",,CRÉDITO,,"R$ 16.467,02"
02/01/2025,"R$ 102,00","R$ 513,00","R$ 346,38","R$ 1.380,55","R$ 354,00",,"R$ 2.593,93",,DÉBITO,,"R$ 7.752,54"
03/01/2025,"R$ 102,00","R$ 609,00","R$ 1.983,13","R$ 139,34","R$ 149,00",,"R$ 2.880,47",,DINHEIRO,,"R$ 20.664,00"
04/01/2025,SABADO,SABADO,"R$ 0,00","R$ 0,00","R$ 0,00",SABADO,"R$ 0,00",,DUPLICATAS,,"R$ 5.645,00"
05/01/2025,,,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00",,TOTAL,,"R$ 50.528,56"
06/01/2025,"R$ 109,00","R$ 1.931,00","R$ 602,80","R$ 733,11","R$ 261,00",,"R$ 3.527,91",,,,
07/01/2025,"R$ 106,00","R$ 1.543,50","R$ 1.243,08","R$ 816,32","R$ 266,00",,"R$ 3.868,89",,,,
08/01/2025,"R$ 113,00","R$ 1.178,00","R$ 128,21","R$ 0,00","R$ 290,00",,"R$ 1.596,21",,,,
09/01/2025,"R$ 119,00","R$ 1.999,00","R$ 159,06","R$ 331,84","R$ 436,00",,"R$ 2.925,90",,,,
10/01/2025,"R$ 115,00","R$ 1.834,00","R$ 225,58","R$ 162,48","R$ 426,00",,"R$ 2.648,05",,,,
11/01/2025,SABADO,SABADO,"R$ 0,00","R$ 0,00","R$ 0,00",SABADO,"R$ 0,00",,,,
12/01/2025,,,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00",,,,
13/01/2025,"R$ 111,00","R$ 946,00","R$ 397,21","R$ 320,03","R$ 216,00",,"R$ 1.879,23",,,,
14/01/2025,"R$ 106,00","R$ 1.135,00","R$ 630,46","R$ 196,94","R$ 526,00",,"R$ 2.488,40",,,,
15/01/2025,"R$ 114,00","R$ 781,00","R$ 459,41","R$ 195,96","R$ 373,00",,"R$ 1.809,36",,,,
16/01/2025,"R$ 119,00","R$ 1.137,00","R$ 1.636,01","R$ 474,63","R$ 266,00",,"R$ 3.513,64",,,,
17/01/2025,"R$ 120,00","R$ 735,50","R$ 820,66","R$ 166,41","R$ 85,00",,"R$ 1.807,58",,,,
18/01/2025,SABADO,SABADO,"R$ 0,00","R$ 0,00","R$ 0,00",SABADO,"R$ 0,00",,,,
19/01/2025,,,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00",,,,
20/01/2025,"R$ 105,00","R$ 673,00","R$ 1.367,54","R$ 522,88","R$ 30,00",,"R$ 2.593,42",,,,
21/01/2025,"R$ 98,00","R$ 1.259,00","R$ 525,87","R$ 30,53","R$ 80,00",,"R$ 1.895,40",,,,
22/01/2025,"R$ 103,00","R$ 335,00","R$ 509,93","R$ 257,99","R$ 37,00",,"R$ 1.139,92",,,,
23/01/2025,"R$ 103,00","R$ 816,00","R$ 939,42","R$ 0,00","R$ 70,00",,"R$ 1.825,42",,,,
24/01/2025,"R$ 98,00","R$ 1.084,00","R$ 2.960,29","R$ 82,71","R$ 139,00",,"R$ 4.266,00",,,,
25/01/2025,SABADO,SABADO,"R$ 0,00","R$ 0,00","R$ 0,00",SABADO,"R$ 0,00",,,,
26/01/2025,,,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00",,,,
27/01/2025,"R$ 109,00","R$ 394,00","R$ 692,35","R$ 413,57","R$ 573,00",,"R$ 2.072,93",,,,
28/01/2025,"R$ 115,00","R$ 203,00","R$ 0,00","R$ 147,71","R$ 264,00",,"R$ 614,71",,,,
29/01/2025,"R$ 109,00","R$ 968,00","R$ 457,90","R$ 568,17","R$ 335,00",,"R$ 2.329,07",,,,
30/01/2025,"R$ 110,00","R$ 558,00","R$ 312,32","R$ 185,12","R$ 399,00",,"R$ 1.454,44",,,,
31/01/2025,"R$ 103,00","R$ 32,00","R$ 69,41","R$ 626,27","R$ 70,00",,"R$ 797,68",,,,
