RESUMO DE RECEITAS  E DESPESAS MENSAL,,,,,
,,,,,
TOTAL,,,,,
RECEITA DE VENDAS,"R$ 50.528,56",,,,
DESPESAS,,,,COMPRAS FORNECEDOR,
DESPESAS FIXAS,"R$ 2.658,73",,,"R$ 33.215,31",
DESPESAS VARIÁVEIS,"R$ 41.053,91",,,,
DESPESAS CASA,"R$ 0,00",,,,
GILCEU,"R$ 0,00",,,,
TOTAL,"R$ 6.815,92",,,,
,,,,,
EMPRESA,,,,,
DESPESAS FIXAS,,DESPESAS VARIAVEIS,,RECEITA DE VENDAS,
ALUGUEL,"R$ 1.600,00",COMPRAS LOJAS LOCAIS,"R$ 0,00",VENDAS CHEQUE À VISTA,"R$ 0,00"
HONORÁRIOS CONTADOR,"R$ 706,00",SALÁRIO DE FUNCIONARIOS,"R$ 4.000,00",VENDAS CHEQUE PRÉ DATADO,"R$ 0,00"
SISTEMA ALTERDATA,"R$ 352,73",DESCONTO  MENSAL MAQ DE CARTÃO,"R$ 0,00",VENDAS CRÉDITO,"R$ 16.467,02"
TAXA MAQUINA. CUST.,"R$ 0,00",BOLETOS E DUPLICATAS,"R$ 37.053,91",VENDAS DÉBITO,"R$ 7.752,54"
TELEFONIA/INTERNET,"R$ 240,00",DESPESAS,,VENDAS DINHEIRO,"R$ 20.664,00"
TARIFA BANCÁRIA,"R$ 0,00",MULTAS E ENCARGOS,"R$ 0,00",VENDAS DUPLICATAS,"R$ 5.645,00"
TOTAL,"R$ 2.658,73",TOTAL,"R$ 41.053,91",TOTAL,"R$ 50.528,56"
,,,,,
CASA,,,,,
ALUGUEL,"R$ 0,00",COMPRAS,"R$ 0,00",,
CAESB,"R$ 0,00",NINA,"R$ 0,00",,
CEB,"R$ 0,00",INTERNET,"R$0,00",,
CELULAR,,TOTAL,"R$ 0,00",,
